Return  Risk
21.88  1
59.82  1
33.28  1
20.23  1
15.78  1
13.59  1
32.98  1
11.31  1
21.46  1
14.45  1
25.43  1
10.67  1
12.11  1
17.69  1
56.87  1
 4.43  1
24.95  1
 0.13  1
 8.75  1
12.45  1
19.89  1
37.71  1
49.97  1
19.67  1
55.40  1
27.16  1
 9.44  1
19.45  1
15.42  1
55.90  1
28.25  1
31.03  1
31.15  1
41.86  1
49.76  1
24.89  1
11.37  1
18.19  1
32.50  1
 7.57  1
29.18  1
31.70  1
67.69  1
10.09  1
61.88  1
24.08  1
 7.97  1
24.22  1
18.17  1
24.21  1
31.96  1
45.39  1
56.63  1
14.36  1
10.00  1
45.37  1
27.16  1
-2.70  1
11.38  1
12.67  1
12.41  1
91.15  1
 8.40  1
30.52  1
20.26  1
 4.08  1
26.09  1
12.21  1
67.45  1
43.31  1
19.21  1
18.49  1
21.31  1
25.18  1
26.85  1
18.89  1
