date;name;Day;Venue;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;PAtt;Cmp%;ProgP;Carries;ProgC;Succ;AttD;Rating;MOTM
14/03/2022;Phil Foden;Mon;Away;90;0;0;0;0;2;0;0;0;25;24;0;0;0;0,1;0,1;0;3;0;16;18;88,9;3;19;1;0;0;6,2;
03/06/2022;Phil Foden;Sun;Home;90;0;0;0;0;4;1;0;0;43;23;3;0;1;0,2;0,2;0;4;0;20;29;69;2;25;4;2;3;7,7;
26/02/2022;Phil Foden;Sat;Away;90;1;0;0;0;3;2;1;0;60;13;1;1;0;1;1;0,1;1;0;35;51;68,6;2;44;9;2;4;8;
19/02/2022;Phil Foden;Sat;Home;90;0;0;0;0;3;0;0;0;54;20;1;0;0;0,3;0,3;0,1;1;0;42;46;91,3;3;42;7;3;3;7,4;
02/12/2022;Phil Foden;Sat;Away;80;1;0;0;0;4;2;0;0;50;17;0;1;0;0,8;0,8;0;4;2;39;42;92,9;2;48;5;2;2;8,3;
02/09/2022;Phil Foden;Wed;Home;70;0;0;0;0;1;0;0;0;33;18;0;0;0;0,1;0,1;0,2;4;0;25;29;86,2;4;22;1;0;0;6,8;
22/01/2022;Phil Foden;Sat;Away;90;0;0;0;0;3;1;0;0;85;11;1;1;1;0,1;0,1;0,7;4;0;59;72;81,9;4;67;10;2;4;7,4;
15/01/2022;Phil Foden;Sat;Home;87;0;0;0;0;1;0;0;0;47;23;0;2;0;0,1;0,1;0;1;0;26;42;61,9;3;31;2;2;2;7,4;
29/12/2021;Phil Foden;Wed;Away;90;1;0;0;0;2;1;0;0;68;12;1;0;0;0,5;0,5;0;2;0;48;57;84,2;1;62;9;2;2;8,1;1
26/12/2021;Phil Foden;Sun;Home;20;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;9;10;90;0;7;0;0;0;5,8;
